station_id,station_name,year,month,source_available,locally_acquired,raw_file,sha256,record_count,expected_hours,missing_hours,completeness_pct,qc_status,provenance_status,notes
site_5453,"Chandkheda, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_chandkheda,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",5413b9f497e8a2c685b9295b449e401ed0614d2c12132220d75a9d1a2f5ade45,742.0,744.0,2.0,99.7,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5453,"Chandkheda, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5453,"Chandkheda, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5453,"Chandkheda, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5453,"Chandkheda, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5450,"Gyaspur, Ahmedabad",2025,January,True,True,"aqi_hourly_station_level_gyaspur,_ahmedabad_-_iitm_2025_January_ahmedabad_2025.xlsx",b0b306634d209caaf69c7a7d6040fbcbe3d890397970ea45aad0cd0cb7c9334d,689.0,744.0,55.0,92.6,VALID_WITH_MISSING,ACQUIRED_AND_VERIFIED,File exists locally with SHA-256 checksum
site_5450,"Gyaspur, Ahmedabad",2025,February,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5450,"Gyaspur, Ahmedabad",2025,March,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5450,"Gyaspur, Ahmedabad",2025,April,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
site_5450,"Gyaspur, Ahmedabad",2025,May,True,False,,,,,,,NOT_ACQUIRED,SOURCE_AVAILABLE_NOT_ACQUIRED,Available from CPCB portal; not yet downloaded
