station_id,station_name,date,latitude,longitude,covering_granules,strict_aod_550,strict_aod_uncertainty,strict_aod_available,research_aod_550,research_aod_uncertainty,research_aod_available,strict_valid_candidates,selected_strict_source
site_5453,Chandkheda,2025-01-01,23.107969,72.574648,100,0.3145,0.006500000000000001,1,-999,-999,0,0.8588235294117647,median_composite_valid
site_5453,Chandkheda,2025-01-02,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0.7372549019607844,median_composite_missing
site_5453,Chandkheda,2025-01-03,23.107969,72.574648,99,-999,-999,0,-999,-999,0,1.003921568627451,median_composite_missing
site_5453,Chandkheda,2025-01-04,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0.17254901960784313,median_composite_missing
site_5453,Chandkheda,2025-01-05,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-06,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-07,23.107969,72.574648,99,0.49,0.02255,1,-999,-999,0,1.1254901960784314,median_composite_valid
site_5453,Chandkheda,2025-01-08,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-09,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-10,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-11,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0.8117647058823529,median_composite_missing
site_5453,Chandkheda,2025-01-12,23.107969,72.574648,98,0.6485,0.0246,1,-999,-999,0,1.8627450980392155,median_composite_valid
site_5453,Chandkheda,2025-01-13,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-14,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-15,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-16,23.107969,72.574648,100,0.213,0.0063,1,-999,-999,0,1.0509803921568628,median_composite_valid
site_5453,Chandkheda,2025-01-17,23.107969,72.574648,98,-999,-999,0,-999,-999,0,0.7372549019607844,median_composite_missing
site_5453,Chandkheda,2025-01-18,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-19,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-20,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-21,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0.5725490196078431,median_composite_missing
site_5453,Chandkheda,2025-01-22,23.107969,72.574648,98,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-23,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-24,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-25,23.107969,72.574648,99,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-26,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0,median_composite_missing
site_5453,Chandkheda,2025-01-27,23.107969,72.574648,98,-999,-999,0,-999,-999,0,0.5725490196078431,median_composite_missing
site_5453,Chandkheda,2025-01-28,23.107969,72.574648,100,-999,-999,0,-999,-999,0,0,median_composite_missing
